negocio	texto	estrellas	estilo
Pub	Me dejé el paraguas en el perchero y por suerte lo recuperé, pero el trato de la chica de la barra al preguntarle fue bastante seco.	3	anecdótico
Mesón	Estado de los aseos deplorable. Atenta contra la imagen y salubridad del local.	1	formal
Bar	¡Las bravas tienen un toque picante increíble! Son adictivas, ¡no podíamos parar de comer!	4	entusiasta
Cafetería	El personal de limpieza intervino de forma intrusiva durante el consumo del cliente.	1	neutral
Mesón	El revuelto de setas traía tanta tierra que me sentí como un arqueólogo buscando tesoros en cada bocado.	1	sarcástico
Restaurante	Atención al detalle máxima. Muy profesionales.	5	breve
Cafetería	Me fascinó que el café supiera a agua de fregar. Es un matiz artesanal que no todo el mundo sabe apreciar.	1	sarcástico
Bar de carretera	Sitio deprimente. No paréis.	1	breve
Bar de carretera	La limpieza es tan exclusiva que solo se aplica en años bisiestos. Las moscas son parte del personal y te saludan al entrar.	1	sarcástico
Bar de carretera	Calidad de los platos muy irregular. Se sirvieron elaboraciones recalentadas. Flojo.	2	formal
Bar de carretera	¡Espectacular! Si buscas comida de verdad en la carretera, este es el sitio. El guiso de la abuela estaba para chuparse los dedos.	5	entusiasta
Cervecería	Buena oferta de aperitivos calientes. Se agradecería mayor rotación en los grifos.	4	formal
Cafetería	Personal barista con alta formación. La emulsión de la leche es sencillamente perfecta.	5	formal
Cafetería	Precios absurdos, calidad ínfima.	1	breve
Cervecería	¡Fantástico! El aroma a lúpulo nada más entrar ya te conquista. La selección de grifos es variadísima y muy top.	5	entusiasta
Pub	Desorden, ruidos molestos y una gestión de seguridad totalmente ineficiente. Peligroso.	1	formal
Cafetería	La oferta de productos es convencional y el café cumple con las expectativas básicas.	3	neutral
Bar de carretera	La televisión a todo volumen con el teletexto de fondo le da un toque 'vintage' que te hace olvidar que la comida no tiene sabor alguno.	2	sarcástico
Bar	La atención es súper rápida, no te quedas con la garganta seca.	5	coloquial
Restaurante	El pescado estaba ligeramente pasado de cocción. Un error imperdonable a este nivel.	3	crítico
Bar	¡Me encanta!	5	breve
Cafetería	El horario de apertura publicado no coincidía con la realidad del establecimiento.	2	neutral
Pub	Me olvidé la chaqueta en el taburete y volví a los 5 minutos. El de la barra me juró que no había visto nada mientras se reía con su compañero. Se la quedaron.	1	anecdótico
Bar de carretera	Normalito. Los precios de la tienda son caros.	3	breve
Cafetería	Estado de los aseos y de la zona de cocina lamentable. Falta de rigor sanitario.	1	formal
Restaurante	La relación calidad-precio es de las peores que he experimentado en mi vida.	2	crítico
Mesón	Carta de vinos muy limitada a opciones básicas.	3	neutral
Mesón	Pedimos hojas de reclamaciones y nos pusieron mil pegas. Muy poco profesionales.	1	crítico
Cafetería	El establecimiento no disponía de la mayoría de productos indicados en la carta oficial.	1	neutral
Bar	El aire acondicionado estaba muy fuerte y resultaba molesto. Regularlo un poco mejor haría que la gente se quedara más tiempo.	3	constructivo
Cafetería	Buena ubicación, pero los precios me parecen elevados comparados con el tamaño de las tazas.	3	constructivo
Bar	Los pinchos de la barra se veían poco frescos.	2	neutral
Cervecería	Limpieza de 10 y cerveza siempre fría. Perfecto.	5	breve
Pub	Ni tan mal, pero el gin-tonic me dejó la cabeza como un bombo. Sospecho que el alcohol no era premium.	3	coloquial
Cafetería	Café normal, servicio algo lento.	3	breve
Restaurante	Incumplimiento grave de las restricciones dietéticas comunicadas previamente. Peligroso.	1	formal
Pub	Atención amable y eficaz. Los precios son acordes a la calidad de los productos.	4	formal
Bar de carretera	Atención rápida, quizás demasiado. Da la sensación de que quieren que te vayas pronto. La comida está bien cocinada.	4	crítico
Bar de carretera	Precios ligeramente por encima de la media dada la ubicación en la vía principal.	3	formal
Cafetería	Muy buena calidad de producto, pero los precios de la bollería son un poco elevados para el tamaño.	4	constructivo
Bar	El mejor café.	5	breve
Mesón	Local tradicional con mobiliario algo antiguo.	3	neutral
Bar	Muy bien ubicado, cómodo.	4	breve
Restaurante	La vajilla es más cara que mi primer coche. Casi me da un síncope al rozar el plato.	5	sarcástico
Cafetería	El otro día me senté en la terraza y se estaba de lujo, pero tuve que entrar yo tres veces a pedir porque no salían.	3	anecdótico
Mesón	Llegamos un martes cualquiera y nos trataron como si fuéramos familia de toda la vida. Da gusto encontrar sitios así.	5	anecdótico
Bar	¡Es el templo de la caña bien tirada! La espuma perfecta, el vaso frío... ¡un ritual que me hace feliz cada tarde!	5	entusiasta
Pub	Los camareros son unos cracks, pero tardaron un pelín en traernos la cuenta al final.	4	coloquial
Bar	La conexión wifi que anuncian no funciona en la parte de atrás del local. Un detalle que deberían arreglar.	3	crítico
Cafetería	La bollería es 'artesanal', si por artesanal entendemos que la ha sacado de la bolsa de plástico un artesano del supermercado.	2	sarcástico
Cafetería	El wifi presenta una velocidad funcional para tareas básicas de navegación.	3	neutral
Bar de carretera	La comida llegó fría y el camarero ni se disculpó. Una falta de organización total que arruinó la parada.	2	crítico
Pub	Buen ambientazo para ir con los colegas, pero eché de menos alguna marca más de ginebra.	4	coloquial
Pub	Los vasos estaban sucios, con marcas de labios de otros. Les pedí que los cambiaran y se rieron.	1	coloquial
Pub	¡Increíble atmósfera! Es un sitio con mucha personalidad, ¡aunque tardaron en traernos la cuenta!	4	entusiasta
Pub	El DJ me pidió 10 euros por poner una canción y cuando le pagué, puso solo 30 segundos y la quitó. Un caradura de los que no quedan.	1	anecdótico
Restaurante	Manejo impecable de las temperaturas y las cocciones al vacío. Servicio de gran altura.	4	formal
Pub	Buen trato.	4	breve
Cervecería	Se les olvidó la mitad de lo que pedimos y encima nos lo querían cobrar.	2	coloquial
Bar	Excelente servicio de coctelería con una ejecución técnica impecable. Muy recomendable.	5	formal
Cervecería	Las jarras heladas son un puntazo, pero a veces el hielo se deshace rápido y aguada la cerveza; quizás vasos fríos sin escarcha sería mejor.	4	constructivo
Mesón	Comida de la abuela de verdad, sales de aquí rodando. El sitio es un poco antiguo, pero mola.	4	coloquial
Cafetería	La relación entre la calidad del producto y el coste final no se encuentra equilibrada.	2	neutral
Cafetería	La iluminación del local es escasa y dificulta la lectura de la carta de precios.	2	neutral
Bar	Olor desagradable proveniente de los sumideros.	1	neutral
Restaurante	La decoración es tan minimalista y elegante que mi salón ahora me parece un trastero abarrotado.	5	sarcástico
Bar	Cobros arbitrarios no reflejados en la carta de precios oficial. Gestión muy deficiente.	1	formal
Restaurante	Un restaurante que se vende como gourmet pero que sirve verduras de bolsa en su menú ejecutivo. Una estafa para el paladar experimentado.	2	crítico
Restaurante	Un sitio decadente, sucio y con una gestión que da vergüenza ajena. No volváis.	1	crítico
Cervecería	El aperitivo de cortesía era un cuenco con tres aceitunas para cuatro personas. Un detalle algo escaso que podrían mejorar fácilmente.	2	constructivo
Bar	¡Qué fantasía de cócteles! No solo están ricos, es que la presentación es de película. ¡Súper instagrameable y delicioso!	5	entusiasta
Cervecería	Las tostas están ricas, pero tardan un siglo en sacarlas de cocina.	4	coloquial
Cervecería	Me trajeron una jarra con un golpe en el borde y casi me corto el labio. Me la cambiaron rápido y me invitaron a la siguiente ronda, pero ya estuve toda la cena mirando el cristal con lupa.	3	anecdótico
Restaurante	Postres visualmente bonitos pero empalagosos y sin matices. Una decepción final.	3	crítico
Bar de carretera	Rapidez máxima y comida de calidad. Muy bien.	5	breve
Bar	Ambiente poco acogedor y luz fría.	2	neutral
Pub	Traje a unos amigos extranjeros y quedaron alucinados con la variedad de cervezas artesanales que tienen.	5	anecdótico
Cafetería	La tostada estaba tan dura que servía de arma de defensa personal. Al menos el aceite no sabía a motor de coche.	2	sarcástico
Pub	Hacía mucho viento en la terraza y nos ofrecieron unas mantitas súper suaves para seguir fuera. ¡Qué detalle!	5	anecdótico
Bar de carretera	¡Vaya descubrimiento! El guiso de carne estaba espectacular. Los camareros son pura simpatía, solo que la señal de Wi-Fi no llegaba bien al fondo.	4	entusiasta
Restaurante	Producto de temporada tratado con respeto. El punto de sal en los pescados es simplemente perfecto.	5	constructivo
Cafetería	El otro día celebré que aprobé un examen aquí con una tarta brutal, aunque tardaron mucho en traerme la cuenta.	4	anecdótico
Bar de carretera	Poca variedad en el menú de fin de semana. El trato fue meramente profesional.	3	formal
Cafetería	El café estaba un poco amargo para mi gusto.	3	breve
Mesón	Un mesón con solera y raciones que alimentan solo con verlas aparecer.	4	coloquial
Bar	Mucho tiempo de espera para un café.	2	neutral
Pub	Copas bien puestas.	5	breve
Restaurante	Un despliegue de talento y creatividad que justifica plenamente su reconocimiento.	5	formal
Cafetería	Pedí un americano y me trajeron un café tan corto que parecía un chiste malo. Al menos la taza era de cerámica.	2	sarcástico
Restaurante	Ambiente gélido y servicio distante. Falta hospitalidad y sobra rigidez.	3	crítico
Cafetería	Café aguado y local muy ruidoso.	2	breve
Bar	¡Brutal! No tengo palabras para describir lo bien que nos lo pasamos siempre aquí. ¡La música es simplemente perfecta!	5	entusiasta
Bar de carretera	Gente muy amable y comida casera de verdad.	5	breve
Cafetería	¡El aroma al entrar ya te enamora! Es una experiencia sensorial completa.	5	entusiasta
Cafetería	La ventilación del local es óptima y no se perciben olores fuertes procedentes de la cocina.	4	neutral
Bar	La cerveza está bien tirada, pero las tapas que ponen son muy básicas y se nota que el pan no es del día.	3	crítico
Cervecería	Cerveza artesana de mucha calidad, aunque los vasos son un poco pequeños.	4	coloquial
Restaurante	Platos visualmente impactantes que resultan decepcionantes por su falta de profundidad aromática.	2	formal
Cervecería	Me refugié aquí un día de tormenta. El sitio es muy chulo y la música rock me encantó, pero me cobraron 6 euros por una artesana de 20cl que me pareció un robo. Volveré, pero solo por una caña normal.	3	anecdótico
Bar	Variedad de vinos buena.	4	breve
Pub	Para una vez.	3	breve
Pub	Pedimos unos nachos para compartir y la ración era enorme, muy ricos, aunque el queso no estaba del todo fundido.	4	anecdótico
Restaurante	Mucho diseño en el local pero la cocina no está a la altura de los precios. El menú degustación fue una sucesión de platos pretenciosos que carecían de sabor y equilibrio.	2	crítico
Cafetería	Me encanta el hilo musical que ponen. El otro día descubrí a mi banda favorita gracias a ellos.	5	anecdótico
Bar de carretera	El dueño te mira con una alegría que te hace sospechar que le debes dinero de una vida pasada. Tres estrellas porque el sol y la terraza son gratis.	3	sarcástico
Cervecería	El hilo musical no es acorde con la tipología del establecimiento. Correcto sin más.	3	formal
Pub	El trato es súper cercano, parece que conoces a los dueños de toda la vida.	5	coloquial
Cafetería	Servicio rápido y personal muy amable.	5	breve
Restaurante	Pequeño error en el punto de la carne. Una pena.	2	breve
Restaurante	Se nota que el chef no está en la cocina. Falta rigor y cariño en la ejecución.	3	crítico
Restaurante	La cristalería era tan fina que tenía miedo de que mi respiración la hiciera añicos. Un estrés delicioso.	5	sarcástico
Restaurante	La verdad que la fama le viene bien. La comida se sale y el trato es de primera. Le falta un poco de luz al local para ver bien lo que comes, jaja.	4	coloquial
Restaurante	Personal altamente cualificado. Se agradecería mayor privacidad entre algunas mesas del salón.	4	formal
Cervecería	¡Espectacular la selección de belgas! Me sentí como en Bruselas por un momento. ¡Gracias por traer estas maravillas!	5	entusiasta
Bar	Raciones muy escasas comparadas con el precio.	1	neutral
Cervecería	Tardaron media hora en ponernos dos tristes cañas. Qué desastre de servicio.	2	coloquial
Cervecería	¡Qué pasada de sitio! El trato es inmejorable, te hacen sentir como en casa desde que entras. ¡Las mejores cañas del barrio!	5	entusiasta
Cafetería	El local no dispone de opciones variadas para personas con restricciones alimentarias básicas.	2	neutral
Pub	¡Me tiene enamorado este pub! La selección de tónicas es brutal, ¡solo faltó que el hielo durara un poco más!	4	entusiasta
Bar de carretera	¡De locos! El bocadillo de jamón era enorme y el pan estaba crujiente. Da gusto parar en sitios con gente tan profesional y simpática.	5	entusiasta
Pub	¡Qué descubrimiento!	5	breve
Cervecería	Poca luz en el local. Cerveza bien tirada.	3	breve
Cervecería	Referente por su limpieza y el estado impecable de sus instalaciones frigoríficas.	5	formal
Pub	Es nuestro sitio de siempre, pero molaría que cambiaran un poco la lista de reproducción.	4	coloquial
Restaurante	La presentación de los platos es impecable, pero el sabor es plano. Falta alma en la cocina y sobra postureo en el emplatado.	2	crítico
Cervecería	Me trajeron una jarra con un golpe en el borde. Bastante peligroso el tema.	2	coloquial
Bar	La tostada del desayuno estaba fría.	2	neutral
Mesón	El café de puchero es original, pero estaba algo aguado. Con un poco más de cuerpo sería un postre ideal.	3	constructivo
Bar	Buen trato del personal.	4	breve
Restaurante	Pagar este dineral para salir con hambre no mola.	2	breve
Mesón	Servicio impecable y comida con mucho fundamento. ¡Repetiremos sin duda!	5	coloquial
Cafetería	La repostería mostraba una textura seca que indicaba una falta de frescura en el producto.	2	neutral
Bar de carretera	La carne estaba recalentada en el microondas y se notaba en la textura. Una parada decepcionante para las reseñas que tiene.	3	crítico
Pub	Las raciones están aceptables, pero tardaron tanto que ya se nos había pasado el hambre.	3	coloquial
Bar	Buena relación calidad-precio en los combinados. El personal es rápido y eficaz.	4	formal
Bar de carretera	La amabilidad del dueño es un mito urbano, pero su mano para las carnes a la brasa es una realidad indiscutible. Casi le doy 5 estrellas por el susto.	4	sarcástico
Cervecería	Mola mucho la decoración, aunque los taburetes son bastante incómodos.	4	coloquial
Mesón	Un sitio fetén para pegarse un buen homenaje el fin de semana.	5	coloquial
Bar de carretera	Gente maja y raciones generosas.	4	breve
Cafetería	Lento, caro y trato mediocre.	2	breve
Pub	Un sitio muy 'underground' y chulo, aunque la entrada es un poco oscura y no se ve bien.	4	coloquial
Cafetería	Bien ubicado pero muy ruidoso.	3	breve
Pub	El otro día el DJ puso una sesión de rock clásico increíble, pero el volumen era tan bestia que acabamos hablando por señas.	3	anecdótico
Cervecería	Tapas clásicas que no fallan, pero la música era un pelín machacona.	4	coloquial
Cervecería	Servicio tosco y poco profesional. No se respetan los tiempos de espera del cliente.	2	formal
Mesón	Las raciones de embutido eran tres lonchas transparentes. Un robo a mano armada.	1	crítico
Cervecería	Siempre que vengo salgo encantado. ¡Seguid así, cracks!	5	coloquial
Restaurante	El chef decidió que mis papilas gustativas necesitaban unas vacaciones de lujo y no aceptó un no por respuesta.	5	sarcástico
Cafetería	Carta de tés e infusiones muy completa y servida a la temperatura exacta.	5	formal
Cafetería	Buscaba un rincón tranquilo para leer y terminé quedándome tres horas. El ambiente es hipnótico.	5	anecdótico
Bar	Limpieza impecable y una presentación de los combinados muy elegante. Gran nivel.	5	formal
Cafetería	Buen desayuno. Se llena mucho los domingos.	4	breve
Bar de carretera	La zona de barra está llena de migas y restos de otros clientes que nadie se molesta en limpiar.	2	crítico
Restaurante	Vanguardia y tradición se dan la mano en una carta que sorprende por su equilibrio.	5	formal
Mesón	Camareros bordes y maleducados. Parecía que nos estaban haciendo un favor.	1	crítico
Restaurante	Técnicas de fermentación muy interesantes. Sería didáctico tener una pequeña nota sobre los procesos.	5	constructivo
Mesón	El café estaba quemado y sabía a rayos. No volveré ni aunque me inviten.	1	crítico
Bar de carretera	Pan crujiente y buen embutido.	4	breve
Mesón	Estábamos celebrando un aniversario y, sin decir nada, nos sacaron un licor de hierbas casero por cuenta de la casa para brindar.	5	anecdótico
Cafetería	Ambiente de estudio y trabajo muy respetuoso. Limpieza y orden en todo momento.	5	formal
Mesón	La carne estaba un poco dura pero bien de sabor.	3	neutral
Mesón	El café estaba tan fuerte que me desperté y todavía sigo sin poder parpadear tres días después.	2	sarcástico
Pub	Localización céntrica y decoración temática bien ejecutada. Los precios son equilibrados.	4	formal
Cafetería	¡Una explosión de sabor! El café de especialidad aquí es de otro nivel.	5	entusiasta
Mesón	Pedimos una ración de jamón y las lonchas eran tan finas que se podía ver el futuro a través de ellas.	1	sarcástico
Cafetería	La ración de tarta era tan pequeña que parpadeé y me la perdí. Al menos no engordé nada.	2	sarcástico
Restaurante	Selección de aceites y panes sobresaliente.	4	breve
Pub	Me encantó que el DJ aceptara mi petición de David Bowie, pero justo después puso reggaetón y nos cortó un poco el rollo.	4	anecdótico
Bar	Buen café, local pequeño.	4	breve
Bar	¡De diez!	5	breve
Pub	Ayer sonó un grupo en directo que no conocía y me volaron la cabeza. Qué buen ojo tienen para la música.	5	anecdótico
Pub	Buen rollo.	4	breve
Bar de carretera	La calidad es buena, pero la carta es excesivamente corta. Si pasas a menudo, acabas comiendo siempre lo mismo.	4	crítico
Cafetería	Buen café, aunque algo lento el servicio.	4	breve
Cervecería	Precios elevados en las referencias de importación en comparación con locales similares.	3	formal
Mesón	Tiempo de espera excesivo para la recepción de los platos principales. Servicio mejorable.	3	formal
Cafetería	No aceptan tarjeta, muy mala gestión.	2	breve
Cervecería	Estándar de calidad alto tanto en producto como en mantenimiento de instalaciones.	4	formal
Cafetería	Desayunos de diez. Todo riquísimo.	5	breve
Cafetería	Servicio lento y mesas sin recoger.	2	breve
Cervecería	Me gusta el detalle de la cerveza del mes a precio reducido, pero deberían anunciararlo mejor en la entrada para que la gente lo vea.	3	constructivo
Cervecería	Fui a probar la famosa hamburguesa de la que todos hablan. Estaba rica, sí, pero me la trajeron cuando ya me había terminado la cerveza. Comer en seco no es lo mío en una cervecería.	3	anecdótico
Bar	¡Menuda sorpresa con los torreznos! Crujientes y sabrosos, ¡estaban espectaculares!	4	entusiasta
Cafetería	El café descafeinado de máquina no estaba disponible y se ofreció sobre de disolución.	1	neutral
Mesón	Vino de la casa de calidad media.	3	neutral
Cervecería	Tienen un patio interior escondido que es una joya. Estuvimos charlando horas bajo las plantas con unas pintas fresquísimas. Un lujo.	5	anecdótico
Cafetería	Imprescindible para amantes del café.	5	breve
Bar	Por aquí se come de escándalo, comida casera de verdad.	5	coloquial
Pub	Pedí un mojito y era puro sirope con menta negra y pasada. Le dije que estaba malo y me soltó que 'es que no sabes de coctelería'. Qué soberbia.	1	anecdótico
Pub	Fui solo a tomar algo y el camarero se pasó todo el rato hablando por el móvil pasando de atenderme. Me sentí invisible.	2	anecdótico
Bar de carretera	El parking es de tierra y se levanta muchísimo polvo que entra hasta el comedor. La ensaladilla estaba aceptable.	3	crítico
Cervecería	El perrito caliente está mortal, pero la mostaza pica que no veas.	4	coloquial
Cervecería	La música está tan alta que te explota la cabeza. Imposible hablar.	2	coloquial
Bar de carretera	El lomo con queso estaba espectacular.	5	breve
Bar	Buen sitio para tomar un gin-tonic. Tienen varias marcas y las preparan de forma clásica.	4	neutral
Cafetería	El servicio en mesa es puntual y el mobiliario resulta funcional y cómodo.	5	neutral
Cervecería	Faltan perchas o algún sitio donde dejar los abrigos, acabamos con todo amontonado en las rodillas. Un detalle fácil de corregir.	2	constructivo
Mesón	El flan era tan industrial que si le acercas un imán, se queda pegado a la cuchara. Pura química artesanal.	1	sarcástico
Cafetería	La acústica del local es deficiente, generando un ambiente estresante y molesto.	2	formal
Cervecería	Recordaba este sitio como el mejor del barrio, pero volví ayer tras dos años y han cambiado al personal. Ya no es lo mismo; la cerveza sigue fría, pero el trato ahora es mucho más frío también.	3	anecdótico
Mesón	Las carnes a la brasa tienen un punto de asado adecuado.	5	neutral
Cervecería	Pedí una tostada y el pan estaba duro como una piedra. Malísimo.	2	coloquial
Cafetería	Trato profesional y educado en un entorno de pulcritud absoluta. Muy recomendable.	5	formal
Bar	Comida casera, falta variedad.	4	breve
Bar de carretera	La televisión tiene un solo canal: noticias de 2014 a un volumen que impide que escuches tus propios pensamientos de desesperación.	1	sarcástico
Bar de carretera	El menú es monótono y los platos son bastante aburridos. Sirve para no seguir el viaje con el estómago vacío.	3	crítico
Bar de carretera	¡Me encanta este sitio para desayunar! Las tostadas son enormes y el café tiene buen cuerpo. Solo le falta un pelín más de limpieza en la zona de mesas exterior.	4	entusiasta
Pub	Mucha chavalería dando la nota y el personal pasando de todo. Un caos insoportable.	1	coloquial
Bar de carretera	¡Cinco estrellas se quedan cortas! El parking es enorme y el servicio es ultra veloz. El bocata de calamares estaba espectacular.	5	entusiasta
Bar	Los vasos tenían marcas de cal y dedos. Se nota que el lavavajillas no limpia bien o no usan abrillantador.	2	crítico
Bar de carretera	La máquina de tabaco es la única pieza tecnológica del siglo XXI. El resto es puro sabor tradicional y raciones que desafían la gravedad.	4	sarcástico
Mesón	Manteles con manchas que daban una mala impresión.	2	crítico
Cafetería	La ventilación es escasa; cuando se llena, el ambiente se siente cargado y huele mucho a cocina.	3	constructivo
Bar	Sitio acogedor, algo oscuro.	4	breve
Cervecería	Sitio top para ver el fútbol con una buena birra fría.	5	coloquial
Mesón	La carne estaba tan dura que mi dentista ya se ha comprado un yate gracias a mi visita.	2	sarcástico
Bar	Local muy oscuro y con una ventilación pésima. Al salir, toda mi ropa olía a fritanga de la cocina.	2	crítico
Bar	Los precios de las raciones han subido mucho últimamente y la calidad ha bajado un pelín. Una pena.	3	crítico
Mesón	Hice una parada técnica para un café y acabé probando un torrezno que debería tener un monumento en la plaza del pueblo.	5	anecdótico
Pub	Siempre volvemos.	5	breve
Bar	Pinchos calientes muy ricos.	4	breve
Restaurante	Venden una exclusividad que no existe. Comedor ruidoso y servicio muy descuidado.	2	crítico
Bar de carretera	La máquina de tabaco es el objeto más moderno del local. El café es negro como mi alma un lunes por la mañana. Cumple su función.	3	sarcástico
Bar	Camareros rápidos, sitio top.	4	breve
Bar	Tienen buena variedad de cervezas, pero a varias de la carta les faltaba stock. No deberían anunciar lo que no tienen.	3	crítico
Cafetería	La presentación del café es buena, pero la cucharilla que me entregaron estaba algo manchada.	3	constructivo
Bar de carretera	Me pusieron una tapa de paella que parecía arroz con cosas amarillas no identificadas. Sorprendentemente, tenía buen sabor.	3	sarcástico
Cafetería	El chocolate blanco que pedí estaba súper dulce, demasiado para mi gusto, aunque la presentación era de diez.	3	anecdótico
Cafetería	La limpieza de los cristales es tan buena que pensaba que estábamos en una película de terror con mucha niebla.	1	sarcástico
Cafetería	Desayunos variados y muy ricos.	5	breve
Restaurante	El local ofrece una atmósfera de lujo relajado. La carta de cócteles es excelente, aunque la música de fondo estaba un punto por encima de lo ideal.	4	neutral
Restaurante	Cocina creativa que respeta el producto local.	4	breve
Bar de carretera	¡Qué bien se está aquí! Buena comida y trato inmejorable. Le doy 4 estrellas solo porque la ración de patatas me pareció un poco escasa.	4	entusiasta
Pub	El suelo estaba tan pegajoso que casi se me quedan las zapatillas allí plantadas. Un poco asco.	2	coloquial
Mesón	Presentación de los platos muy sencilla y básica.	3	neutral
Cervecería	La zona de fumadores en la puerta hace que todo el humo entre al local. Deberían desplazar los ceniceros un poco más lejos.	2	constructivo
Restaurante	Trato muy profesional. Si tenéis alguna alergia, avisad al reservar; lo gestionan con gran rigor.	5	constructivo
Bar	La caña está muy bien tirada, aunque la tapa tardó en llegar. Deberían coordinar mejor la barra con la cocina.	3	constructivo
Cafetería	El camarero tiene un carisma arrollador. Si por carisma entendemos la simpatía de una piedra en el zapato.	1	sarcástico
Bar	El vino es de calidad media, pero lo sirven en copas de cristal muy grueso que le quitan toda la gracia a la experiencia.	3	crítico
Cervecería	Hicimos un concurso improvisado de dardos con los camareros y perdimos estrepitosamente, pero nos reímos lo que no está escrito. Grandes profesionales.	5	anecdótico
Restaurante	Servicio muy atento y bodega de primer nivel.	4	breve
Pub	Los nachos están potentes, aunque el queso de encima estaba ya un poco duro.	4	coloquial
Bar	La terraza es amplia y agradable, aunque las mesas bailan un poco. Nivelarlas haría la estancia mucho más cómoda.	3	constructivo
Cafetería	La rotación de clientes es constante y el personal gestiona las mesas con normalidad.	3	neutral
Pub	El barman me hizo un cóctel con una presentación de 10, pero cuando lo probé era básicamente puro hielo picado con sirope.	3	anecdótico
Restaurante	Cocina con alma, pero el ruido de la cocina llega al salón y rompe el ambiente.	3	constructivo
Mesón	El suelo estaba pegajoso y las mesas mal limpiadas.	2	crítico
Pub	Aparcar es imposible y el pub no vale ni el viaje. Una decepción de las gordas.	1	coloquial
Cafetería	El personal gestiona los pedidos con rapidez incluso en momentos de mayor afluencia.	5	neutral
Bar	¡Me flipa este bar! El trato es súper enérgico y los pinchos vuelan de lo buenos que están.	4	entusiasta
Cafetería	Pocas opciones de merienda salada; ampliar la carta con sándwiches o bagels sería una gran idea.	3	constructivo
Bar de carretera	Ubicación estratégica con un servicio de desayunos muy completo y de calidad.	5	formal
Bar	Incumplimiento de las normas básicas de educación por parte de los camareros. Pésimo.	1	formal
Cervecería	No te vayas sin probar las croquetas, ¡vicio puro!	5	coloquial
Pub	Copas ricas. El local es un poco oscuro de más.	4	breve
Restaurante	¡Qué despliegue de talento! Es fascinante ver cómo elevan productos sencillos a la categoría de lujo.	5	entusiasta
Bar de carretera	¡Insuperable! Relación calidad-precio inmejorable. El personal es súper dinámico y siempre tienen una buena palabra para el cliente.	5	entusiasta
Pub	¡Espectáculo puro! Me encanta el dinamismo que tiene la barra, ¡son rapidísimos!	5	entusiasta
Cafetería	En resumen: un sitio con mucho estilo y muy poca sustancia. Perfecto si solo vas a hacerte una foto y no a comer.	2	sarcástico
Bar	Los precios son competitivos, pero el suplemento de terraza no está muy claro en la carta. Avisarlo antes evitaría sorpresas.	3	constructivo
Bar de carretera	Correcto cumplimiento de los estándares de calidad. El personal es amable y eficaz.	4	formal
Cafetería	La ubicación de las mesas impedía el acceso a la salida de emergencia del local.	1	neutral
Cervecería	Basura de sitio. La comida olía mal y la cerveza no tenía ni gas.	1	coloquial
Mesón	La materia prima no justifica los precios actuales. El punto de la carne no fue el solicitado.	2	formal
Cafetería	Precios por encima de la media de la zona. La atención es profesional pero fría.	3	formal
Pub	La música es un puntazo, pero el calor que hacía dentro era de locos, casi no se podía ni estar.	3	coloquial
Bar	Vinos de la tierra ricos.	4	breve
Cafetería	Falta de limpieza en las mesas y presencia de recipientes usados sin recoger.	2	formal
Cafetería	La relación entre el precio y la calidad del producto está equilibrada.	5	neutral
Mesón	Los camareros son majísimos y súper atentos, no te falta de nada en ningún momento.	5	coloquial
Pub	Fui al baño y había una inundación que llegaba al pasillo. Se lo dije al staff y me soltaron que si no me gustaba, que me fuera. El suelo daba asco.	1	anecdótico
Bar de carretera	Trato profesional. El tiempo de espera es razonable dada la alta afluencia de clientes.	4	formal
Cafetería	Pedí sacarina y me trajeron una mirada de desprecio. Menos mal que el desprecio no tiene calorías.	1	sarcástico
Bar	El café es de los peores que he probado, quemado y con sabor rancio. No volveré ni para desayunar.	2	crítico
Mesón	Recordaba este sitio de cuando era pequeño y me alegró ver que el sabor de las patatas a la importancia sigue siendo el mismo.	5	anecdótico
Pub	El mejor pub de la ciudad para tomar algo tranquilo.	5	breve
Restaurante	La presentación del postre era de diez, pero la combinación de cítricos era demasiado fuerte.	3	constructivo
Mesón	Vino de la casa imbebible y servido en vasos sucios.	2	crítico
Mesón	Un sitio con mucha 'solera'. Tanta, que la solera se te queda pegada a la suela de los zapatos y no te suelta.	1	sarcástico
Bar	¡Me encanta que pongan tapa con cada ronda! Un detalle que se agradece muchísimo.	4	entusiasta
Bar	Fatal. He probado su tortilla y ahora la de mi madre me sabe a cartón. Gracias por destrozar mi relación familiar.	5	sarcástico
Pub	¡Un acierto!	5	breve
Cafetería	El camarero fue súper simpático contando chistes, pero se olvidó de traerme el azúcar y la cucharilla.	3	anecdótico
Restaurante	Restaurante con estrella potencial. Los sabores están bien definidos, pero el servicio de pan se cobró aparte sin previo aviso.	4	neutral
Cervecería	El local es muy oscuro y las escaleras al baño son peligrosas. Poner tiras antideslizantes o más luz evitaría posibles caídas.	2	constructivo
Restaurante	La presentación minimalista es solo una excusa para servir raciones ridículas.	2	crítico
Bar	El aire acondicionado no funcionaba en plena ola de calor.	1	neutral
Bar	Muy buena mano.	5	breve
Restaurante	La supuesta 'experiencia sensorial' consistió en pasar frío y comer cosas insípidas.	1	crítico
Mesón	El pisto tenía tantas capas de aceite que podías ver tu reflejo y peinarte antes de empezar a comer.	2	sarcástico
Cervecería	Cerveza aguada, parece que le echan agua al barril para que cunda más. Un engaño total.	1	coloquial
